Price,Build Year,Facades,Habitable Surface,Land Surface,Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Surface,Kitchen Type,Furnished,Fireplace Count,Terrace,Terrace Surface,Garden Surface,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Sea view,Parking count inside,Parking count outside,Municipality,Province
230500,,,22.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
237500,,,31.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
237500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
237500,,,31.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
244500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
244500,,,31.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
244500,,,31.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
255000,,,31.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
265500,,,26.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
265500,,,29.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
210000,,,50.0,,APARTMENT,0.0,,,,,,0,,0,,,,,,A,20.0,,,,MACHELEN,VLAAMS-BRABANT
270000,,,67.0,,APARTMENT,1.0,,,1.0,,,0,,0,,,,,,A,20.0,,,,MACHELEN,VLAAMS-BRABANT
329000,,,90.0,,APARTMENT,2.0,,,2.0,,,0,,0,,,,,,A,20.0,,,,MACHELEN,VLAAMS-BRABANT
359000,,,110.0,,APARTMENT,3.0,,,3.0,,,0,,0,,,,,,A,20.0,,,,MACHELEN,VLAAMS-BRABANT
249000,1963,,83.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,-1.0,1,2.0,,,GOOD,41.0,B,188.0,,,,MORTSEL,ANTWERPEN
249000,1968,,170.0,,APARTMENT,4.0,1.0,1.0,6.0,9.0,INSTALLED,0,,1,74.0,,,TO_BE_DONE_UP,55.0,B,118.0,,,,DEINZE,OOST-VLAANDEREN
250000,2015,2.0,65.0,,APARTMENT,1.0,1.0,2.0,4.0,,USA_HYPER_EQUIPPED,0,,0,,,False,AS_NEW,31.0,C,149.0,,,,SCHAARBEEK,BRUSSEL
255000,2005,2.0,88.0,,APARTMENT,2.0,2.0,2.0,6.0,,INSTALLED,0,,1,6.0,,False,GOOD,36.0,C,233.0,,,,BRAINE-L'ALLEUD,WAALS-BRABANT
259000,2025,3.0,55.0,,APARTMENT,1.0,1.0,,2.0,,,0,,1,7.0,,,,,B,46.0,,1.0,,EVERE,BRUSSEL
269000,2025,3.0,55.0,,APARTMENT,1.0,1.0,,2.0,,USA_HYPER_EQUIPPED,0,,1,7.0,,False,,,B,47.45,,,,EVERE,BRUSSEL
399000,2025,3.0,85.0,,APARTMENT,2.0,1.0,,3.0,,,0,,1,6.0,,,,,A,31.14,,1.0,,EVERE,BRUSSEL
459000,2025,3.0,116.0,,APARTMENT,3.0,2.0,,5.0,,,0,,1,6.0,,,,,A,29.67,,1.0,,EVERE,BRUSSEL
469000,2025,3.0,115.0,,APARTMENT,3.0,2.0,,5.0,,,0,,1,6.0,,,,,A,34.52,,1.0,,EVERE,BRUSSEL
489000,2025,3.0,108.0,,APARTMENT,3.0,2.0,,5.0,,,0,,1,14.0,,,,,A,43.16,,1.0,,EVERE,BRUSSEL
529000,2025,3.0,127.0,,APARTMENT,3.0,2.0,,5.0,,,0,,1,16.0,,,,,B,50.92,,1.0,,EVERE,BRUSSEL
265000,,,43.0,,APARTMENT,0.0,,,,,,0,,0,,,,,,,,,,,SINT-LAMBRECHTS-WOLUWE,BRUSSEL
365000,,,71.0,,APARTMENT,1.0,,,1.0,,,0,,0,,,,,,,,,,,SINT-LAMBRECHTS-WOLUWE,BRUSSEL
490000,,,110.0,,APARTMENT,2.0,,,2.0,,,0,,0,,,,,,,,,,,SINT-LAMBRECHTS-WOLUWE,BRUSSEL
635000,,,126.0,,APARTMENT,3.0,,,3.0,,,0,,0,,,,,,,,,,,SINT-LAMBRECHTS-WOLUWE,BRUSSEL
845000,,,152.0,,APARTMENT,4.0,,,4.0,,,0,,0,,,,,,,,,,,SINT-LAMBRECHTS-WOLUWE,BRUSSEL
265000,2022,3.0,82.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,-1.0,1,13.0,,,,42.0,,,,,,HERENTHOUT,ANTWERPEN
269000,2022,3.0,82.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,-1.0,1,8.0,,,,35.0,,,,,,HERENTHOUT,ANTWERPEN
299000,2022,3.0,94.0,,APARTMENT,2.0,1.0,1.0,4.0,,INSTALLED,0,-1.0,1,13.0,,,,29.0,,,,,,HERENTHOUT,ANTWERPEN
308000,2022,3.0,95.0,,APARTMENT,2.0,1.0,1.0,4.0,,INSTALLED,0,-1.0,1,19.0,53.0,,,31.0,,,,,,HERENTHOUT,ANTWERPEN
270000,2022,2.0,61.0,,APARTMENT,1.0,1.0,1.0,3.0,8.0,HYPER_EQUIPPED,0,,1,10.0,,False,AS_NEW,,A,1.0,,10.0,101.0,DEINZE,OOST-VLAANDEREN
