Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
1654,Huizingen,Ja,BEERSEL,VLAAMS-BRABANT
1670,Bogaarden,Ja,PEPINGEN,VLAAMS-BRABANT
1670,Heikruis,Ja,PEPINGEN,VLAAMS-BRABANT
1670,Pepingen,Neen,PEPINGEN,VLAAMS-BRABANT
1671,Elingen,Ja,PEPINGEN,VLAAMS-BRABANT
1673,Beert,Ja,PEPINGEN,VLAAMS-BRABANT
1674,Bellingen,Ja,PEPINGEN,VLAAMS-BRABANT
1700,Dilbeek,Neen,DILBEEK,VLAAMS-BRABANT
1700,Sint-Martens-Bodegem,Ja,DILBEEK,VLAAMS-BRABANT
1700,Sint-Ulriks-Kapelle,Ja,DILBEEK,VLAAMS-BRABANT
1701,Itterbeek,Ja,DILBEEK,VLAAMS-BRABANT
1702,Groot-Bijgaarden,Ja,DILBEEK,VLAAMS-BRABANT
1703,Schepdaal,Ja,DILBEEK,VLAAMS-BRABANT
1730,Asse,Neen,ASSE,VLAAMS-BRABANT
1730,Bekkerzeel,Ja,ASSE,VLAAMS-BRABANT
1730,Kobbegem,Ja,ASSE,VLAAMS-BRABANT
1730,Mollem,Ja,ASSE,VLAAMS-BRABANT
1731,Relegem,Ja,ASSE,VLAAMS-BRABANT
1731,Zellik,Ja,ASSE,VLAAMS-BRABANT
1733,HighCo DATA,,HighCo DATA,
1740,Ternat,Neen,TERNAT,VLAAMS-BRABANT
1741,Wambeek,Ja,TERNAT,VLAAMS-BRABANT
1742,Sint-Katherina-Lombeek,Ja,TERNAT,VLAAMS-BRABANT
1745,Mazenzele,Ja,OPWIJK,VLAAMS-BRABANT
1745,Opwijk,Neen,OPWIJK,VLAAMS-BRABANT
1750,Gaasbeek,Ja,LENNIK,VLAAMS-BRABANT
1750,Sint-Kwintens-Lennik,Ja,LENNIK,VLAAMS-BRABANT
1750,Sint-Martens-Lennik,Ja,LENNIK,VLAAMS-BRABANT
1755,Gooik,Neen,GOOIK,VLAAMS-BRABANT
1755,Kester,Ja,GOOIK,VLAAMS-BRABANT
1755,Leerbeek,Ja,GOOIK,VLAAMS-BRABANT
1755,Oetingen,Ja,GOOIK,VLAAMS-BRABANT
1760,Onze-Lieve-Vrouw-Lombeek,Ja,ROOSDAAL,VLAAMS-BRABANT
1760,Pamel,Ja,ROOSDAAL,VLAAMS-BRABANT
1760,Roosdaal,Neen,ROOSDAAL,VLAAMS-BRABANT
1760,Strijtem,Ja,ROOSDAAL,VLAAMS-BRABANT
1761,Borchtlombeek,Ja,ROOSDAAL,VLAAMS-BRABANT
1770,Liedekerke,Neen,LIEDEKERKE,VLAAMS-BRABANT
1780,Wemmel,Neen,WEMMEL,VLAAMS-BRABANT
1785,Brussegem,Ja,MERCHTEM,VLAAMS-BRABANT
1785,Hamme,Ja,MERCHTEM,VLAAMS-BRABANT
1785,Merchtem,Neen,MERCHTEM,VLAAMS-BRABANT
1790,Affligem,Neen,AFFLIGEM,VLAAMS-BRABANT
1790,Essene,Ja,AFFLIGEM,VLAAMS-BRABANT
1790,Hekelgem,Ja,AFFLIGEM,VLAAMS-BRABANT
1790,Teralfene,Ja,AFFLIGEM,VLAAMS-BRABANT
1800,Peutie,Ja,VILVOORDE,VLAAMS-BRABANT
1800,Vilvoorde,Neen,VILVOORDE,VLAAMS-BRABANT
1804,Cargovil,,Cargovil,
1818,VTM,,VTM,
1820,Melsbroek,Ja,STEENOKKERZEEL,VLAAMS-BRABANT
1820,Perk,Ja,STEENOKKERZEEL,VLAAMS-BRABANT
1820,Steenokkerzeel,Neen,STEENOKKERZEEL,VLAAMS-BRABANT
1830,Machelen,Neen,MACHELEN,VLAAMS-BRABANT
1831,Diegem,Ja,MACHELEN,VLAAMS-BRABANT
1840,Londerzeel,Neen,LONDERZEEL,VLAAMS-BRABANT
